ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
ANE-0001,[EPIC 0.1] 仓库卫生：移除被 git 跟踪的 *.pyc/__pycache__,Epic extracted from 完全重构计划.md:543. Scope: implement the full epic end-to-end while preserving existing behavior/data compatibility.,git status 不再显示 src/**/__pycache__/*.pyc 作为 tracked 文件。 | 新生成的 __pycache__ 不会出现在 git status。,"git ls-files ""*.pyc"" (expect 0) | git status (no __pycache__/pyc)",manual,DONE,DONE,TODO,.gitignore | src/core/__pycache__/...,none,"source: 完全重构计划.md:543 | done_at:2026-02-02 | evidence:staged git rm --cached *.pyc; git ls-files ""*.pyc""=0"
ANE-0002,[0.1] 列出所有被跟踪的 src/**/__pycache__/*.pyc（当前约 115 个）并从 git 中删除。,From 完全重构计划.md:546. Epic 0.1 (仓库卫生：移除被 git 跟踪的 *.pyc/__pycache__). Task: 列出所有被跟踪的 src/**/__pycache__/*.pyc（当前约 115 个）并从 git 中删除。,Implemented this requirement without violating the epic Must NOT do constraints; epic acceptance checklist still passes.,"git ls-files ""*.pyc"" (expect 0) | git status (no __pycache__/pyc)",manual,DONE,DONE,TODO,src/**/__pycache__/*.pyc,none,"source: 完全重构计划.md:546 | done_at:2026-02-03 | evidence:git ls-files ""*.pyc""=0 (index); staged deletions remove tracked pyc"
ANE-0003,[0.1] 保留 .gitignore 中对缓存的忽略规则；确保后续不会再进入 git。,From 完全重构计划.md:547. Epic 0.1 (仓库卫生：移除被 git 跟踪的 *.pyc/__pycache__). Task: 保留 .gitignore 中对缓存的忽略规则；确保后续不会再进入 git。,Implemented this requirement without violating the epic Must NOT do constraints; epic acceptance checklist still passes.,"git ls-files ""*.pyc"" (expect 0) | git status (no __pycache__/pyc)",manual,DONE,DONE,TODO,.gitignore,none,"source: 完全重构计划.md:547 | done_at:2026-02-03 | evidence:.gitignore has __pycache__/ + src/**/*.pyc ignores; git ls-files ""*.pyc""=0"
ANE-0004,[EPIC 0.2] 文档策略：解除 .gitignore 对 *.md 的“一刀切”忽略（或新增 docs 白名单）,Epic extracted from 完全重构计划.md:562. Scope: implement the full epic end-to-end while preserving existing behavior/data compatibility.,可在版本库中新增并跟踪 docs/ 下 md 文档（或按方案白名单）。,python -m compileall -q src (and when env ready: pytest -q),manual,DONE,DONE,TODO,.gitignore:162-165 | .gitignore,none,source: 完全重构计划.md:562 | done_at:2026-02-03 | evidence:.gitignore now ignores only root *.md; docs/*.md unignored; python -m compileall -q src OK
ANE-0005,[0.2] 调整 .gitignore：允许 docs/ 或 design/ 下文档被版本控制（保留根目录的噪音 md 忽略也行）。,From 完全重构计划.md:565. Epic 0.2 (文档策略：解除 .gitignore 对 *.md 的“一刀切”忽略（或新增 docs 白名单）). Task: 调整 .gitignore：允许 docs/ 或 design/ 下文档被版本控制（保留根目录的噪音 md 忽略也行）。,Implemented this requirement without violating the epic Must NOT do constraints; epic acceptance checklist still passes.,python -m compileall -q src (and when env ready: pytest -q),manual,DONE,DONE,TODO,.gitignore | docs/,none,source: 完全重构计划.md:565 | done_at:2026-02-03 | evidence:docs/*.md now tracked; python -m compileall -q src OK
ANE-0006,[0.2] 将本计划从 .sisyphus/plans/完全重构计划.md（规划输出）复制/同步到用户期望的位置（如根目录）由执行者决定。,From 完全重构计划.md:566. Epic 0.2 (文档策略：解除 .gitignore 对 *.md 的“一刀切”忽略（或新增 docs 白名单）). Task: 将本计划从 .sisyphus/plans/完全重构计划.md（规划输出）复制/同步到用户期望的位置（如根目录）由执行者决定。,Implemented this requirement without violating the epic Must NOT do constraints; epic acceptance checklist still passes.,python -m compileall -q src (and when env ready: pytest -q),manual,DONE,DONE,TODO,TBD,none,source: 完全重构计划.md:566 | done_at:2026-02-03 | evidence:root 完全重构计划.md matches .sisyphus/plans/完全重构计划.md (SHA256); .gitignore unignores it; python -m compileall -q src OK
ANE-0007,[EPIC 0.3] 建立“必不破坏”Top 10 工作流清单 + 手工回归脚本,Epic extracted from 完全重构计划.md:579. Scope: implement the full epic end-to-end while preserving existing behavior/data compatibility.,清单进入 docs/qa/top10-flows.md（或同等位置）。,python -m compileall -q src (and when env ready: pytest -q),manual,DONE,DONE,TODO,docs/qa/top10-flows.md,none,source: 完全重构计划.md:579 | done_at:2026-02-03 | evidence:created docs/qa/top10-flows.md; py -3.11 -m compileall -q src OK
ANE-0008,[0.3] 记录 10 条必须不回归的用户路径（写作/项目/AI/Codex/RAG/导入导出/主题/查找替换）。,From 完全重构计划.md:582. Epic 0.3 (建立“必不破坏”Top 10 工作流清单 + 手工回归脚本). Task: 记录 10 条必须不回归的用户路径（写作/项目/AI/Codex/RAG/导入导出/主题/查找替换）。,Implemented this requirement without violating the epic Must NOT do constraints; epic acceptance checklist still passes.,python -m compileall -q src (and when env ready: pytest -q),manual,DONE,DONE,TODO,docs/qa/top10-flows.md,none,source: 完全重构计划.md:582 | done_at:2026-02-03 | evidence:docs/qa/top10-flows.md contains 10 flows; py -3.11 -m compileall -q src OK
ANE-0009,[0.3] 为每条路径写出“可执行步骤 + 预期结果 + 截图/日志证据要求”。,From 完全重构计划.md:583. Epic 0.3 (建立“必不破坏”Top 10 工作流清单 + 手工回归脚本). Task: 为每条路径写出“可执行步骤 + 预期结果 + 截图/日志证据要求”。,Implemented this requirement without violating the epic Must NOT do constraints; epic acceptance checklist still passes.,python -m compileall -q src (and when env ready: pytest -q),manual,DONE,DONE,TODO,docs/qa/top10-flows.md,none,source: 完全重构计划.md:583 | done_at:2026-02-03 | evidence:filled steps/expected/evidence for 10 flows in docs/qa/top10-flows.md; py -3.11 -m compileall -q src OK
ANE-0010,[EPIC 0.4] 工程化门禁：引入 ruff/black/mypy/pre-commit（分阶段启用）,Epic extracted from 完全重构计划.md:590. Scope: implement the full epic end-to-end while preserving existing behavior/data compatibility.,pre-commit run --all-files 可执行（允许部分规则先 warn）。 | 新增 docs/engineering/standards.md 写清规则与例外。,python -m compileall -q src (and when env ready: pytest -q),manual,DONE,DONE,TODO,.pre-commit-config.yaml | docs/engineering/standards.md,none,source: 完全重构计划.md:590 | done_at:2026-02-03 | evidence:pre-commit run --all-files PASS; docs/engineering/standards.md added; py -3.11 -m compileall -q src OK
